Predicted Labels,Review
OR,If you are looking for an iPhone and your budget is around 50k-60k then you should definitely go with iPhone XR. It is the value for money iPhone. I've been using it for the past 3 days and I am really happy with its performance.
CG,"Phone looks great, easy setup for existing Apple  users, camera is impressive with the additional modes. Overall totally satisfied with the purchase detailed review on battery after one month of use will follow."
OR,"This is the best phone anyone can buy given the price range. Had a little trepidation before buying it from Amazon given the comments of Amazon not being an authorised seller, but this product is worth a go!"
CG,Great phone
OR,"Best Buy so far.. was sceptical about ordering online, fearing a faulty piece, but worth every penny."
CG,"Good phone. Definitely worth the money. For me it was either one plus 7t or Iphone XR. Being an Iphone user for such a long time, i juat couldn’t go for one plus. Turns out to be the better decision."
CG,"Mobile is superfast same as amazons delivery speed. Camera is good, face unlock is fast and gets my face everytime"
CG,"Excellent phone, superb camera ,screen is extra large , processor is lightning fast"
CG,What a powerful device delivery at time good packing. I am 15 year samsung user but apple is apple
CG,Very good phone i was android user but first tym using ios and only want to say go for it don’t hesitate to shift from android to ios u will not be disappointed very good phone in apple series
OR,"iPhone XR is a great phone on budget price, great camera but only lag is the battery life, that apple should work on."
OR,It is a outstanding phone... I really like thise I phone... Camera quality is good moar than One + mobile... Battery life is very good... performance is very good... Overall Nice phone ... Plz buy it and enjoy
CG,"It’s a apple with great battery and user friendly,"
CG,Very good
CG,Good product. Did not get any cash back even after buying through smart buy. Please resolve
OR,This is my 2nd Iphone (Previos one is Iphone 6) but this one is undoubtedly Perfect in all aspects whether it is face recognition or camera quality or batter life everything. That’s what I call a Smart Phone.
CG,"Face recognition is too good, front and rear camera quality is very cool, especially in night and yes battery life of iPhone XR is way too better than other iPhone series almost 7 to 8 straight hrs can be use"
CG,"Really like for display, battery life and operating comfortably."
CG,Got it in 50k during sale. Overall an Excellent phone.😁
CG,"Awesome mobile brilliant quality performance good .thkq Amazon such beautiful mobile xr just go for it colour wise in India white,product red,,black and also yellow also awsome but Iam taken white colour ."
CG,Phone gets hotter while charging and while watching video. Has it been repaired and sold?
CG,I got XR with a great deal in Amazon and surprising this is awesome variant from Apple. Face ID works awesome and battery life is too good
CG,Camera is awesome. A single 12 M.P rear camera beats other 60 M.P Android’s camera.
OR,"It was very good, Face ID is much improved after updating to IOS13 version."
CG,"I’m using this from 2-3 months now, with one sim it’s giving good battery backup but if you are using esim(dual sim) do not compare with android dual sim phone battery backup. Camera is good. Feels little bulky."
OR,The headphones stopped working after a month or so. There is no wear and tear. Touch screen is not Upto the mark.
OR,Amazon did not provided the original bill of Apple Xr to me in soft copy at my email nor hard cooy to my house. Please provide the same at the earliest. Rest phone specifications lies between 2 to 3 star only.
OR,awsm phone bwalll red color is best color bhailog ankh bnd krke phone lelo and sirf amazon se best online site amazon phone best awsm look awsm profomance 100/100 stars go fo it
CG,After using the phone for a week found it to be a great product.
CG,"Nothing to dislike, the delivery was lightning quick. The product is great. Only, the weight is a little on the higher side"
CG,"Quality of mobile, camera, speed is very good. Very limited option as compare to android mobile. Battery life is not good"
CG,"Little  heavy, not suitable for single hand use, front glass is shiny,"
CG,Excellent product to buy. Camera clarity is amazing and outstanding.
CG,.Everything is good but not satisfied with battery backup.
CG,Easy to handle. User friendly. This is my second Iphone and now addicted to iphone now.
CG,"Excellent face unlock, brilliant display, crispy photographs and outstanding battery life makes you pride owner."
CG,I m giving score in %
CG,Superb Camera
CG,Delighted to purchase in this offer miss the day but still it’s good happy about the product only one thing is missing fingerprint sensor would have been great if it was there
